ticker,name,market,currency,sector,sub_industry,headquarters,index_membership,snapshot_date
ADBE,,US,USD,,,,PORTFOLIO_MISSERE,2026-05-22
AENA.MC,,EU,EUR,,,,PORTFOLIO_MISSERE,2026-05-22
AMT,,US,USD,,,,PORTFOLIO_MISSERE,2026-05-22
AMZN,,US,USD,,,,PORTFOLIO_MISSERE,2026-05-22
BBVA.MC,,EU,EUR,,,,PORTFOLIO_MISSERE,2026-05-22
BKNG,,US,USD,,,,PORTFOLIO_MISSERE,2026-05-22
BMPS.MI,,EU,EUR,,,,PORTFOLIO_MISSERE,2026-05-22
BNP.PA,,EU,EUR,,,,PORTFOLIO_MISSERE,2026-05-22
BSX,,US,USD,,,,PORTFOLIO_MISSERE,2026-05-22
EDP.LS,,EU,EUR,,,,PORTFOLIO_MISSERE,2026-05-22
ENEL.MI,,EU,EUR,,,,PORTFOLIO_MISSERE,2026-05-22
ETE.AT,,EU,EUR,,,,PORTFOLIO_MISSERE,2026-05-22
EUROB.AT,,EU,EUR,,,,PORTFOLIO_MISSERE,2026-05-22
FER.MC,,EU,EUR,,,,PORTFOLIO_MISSERE,2026-05-22
GMAB.CO,,EU,DKK,,,,PORTFOLIO_MISSERE,2026-05-22
IBE.MC,,EU,EUR,,,,PORTFOLIO_MISSERE,2026-05-22
ITX.MC,,EU,EUR,,,,PORTFOLIO_MISSERE,2026-05-22
JMT.LS,,EU,EUR,,,,PORTFOLIO_MISSERE,2026-05-22
LHA.DE,,EU,EUR,,,,PORTFOLIO_MISSERE,2026-05-22
LLY,,US,USD,,,,PORTFOLIO_MISSERE,2026-05-22
MC.PA,,EU,EUR,,,,PORTFOLIO_MISSERE,2026-05-22
MELI,,US,USD,,,,PORTFOLIO_MISSERE,2026-05-22
META,,US,USD,,,,PORTFOLIO_MISSERE,2026-05-22
MSFT,,US,USD,,,,PORTFOLIO_MISSERE,2026-05-22
MU,,US,USD,,,,PORTFOLIO_MISSERE,2026-05-22
NOVO-B.CO,,EU,DKK,,,,PORTFOLIO_MISSERE,2026-05-22
NVDA,,US,USD,,,,PORTFOLIO_MISSERE,2026-05-22
PPC.AT,,EU,EUR,,,,PORTFOLIO_MISSERE,2026-05-22
PRY.MI,,EU,EUR,,,,PORTFOLIO_MISSERE,2026-05-22
RACE.MI,,EU,EUR,,,,PORTFOLIO_MISSERE,2026-05-22
REP.MC,,EU,EUR,,,,PORTFOLIO_MISSERE,2026-05-22
SE,,US,USD,,,,PORTFOLIO_MISSERE,2026-05-22
TRN.MI,,EU,EUR,,,,PORTFOLIO_MISSERE,2026-05-22
WMT,,US,USD,,,,PORTFOLIO_MISSERE,2026-05-22
ZTS,,US,USD,,,,PORTFOLIO_MISSERE,2026-05-22
