date,mc,thr,candidates_pre_cap,slots_available,max_positions_cap
2025-11-03,2,0.05,15,0,10
2025-11-03,3,0.05,6,0,10
2025-11-04,2,0.05,16,1,10
2025-11-04,3,0.05,2,0,10
2025-11-05,2,0.05,16,1,10
2025-11-05,3,0.05,0,0,10
2025-11-06,2,0.05,16,0,10
2025-11-06,3,0.05,1,0,10
2025-11-07,2,0.05,16,0,10
2025-11-07,3,0.05,1,0,10
2025-11-10,2,0.05,14,0,10
2025-11-10,3,0.05,1,0,10
2025-11-11,2,0.05,13,0,10
2025-11-11,3,0.05,0,0,10
2025-11-12,2,0.05,14,0,10
2025-11-12,3,0.05,0,0,10
2025-11-13,2,0.05,14,0,10
2025-11-13,3,0.05,1,0,10
2025-11-14,2,0.05,14,0,10
2025-11-14,3,0.05,1,0,10
2025-11-17,2,0.05,14,0,10
2025-11-17,3,0.05,0,0,10
2025-11-18,2,0.05,13,0,10
2025-11-18,3,0.05,1,0,10
2025-11-19,2,0.05,13,0,10
2025-11-19,3,0.05,1,0,10
2025-11-20,2,0.05,11,0,10
2025-11-20,3,0.05,1,0,10
2025-11-21,2,0.05,13,1,10
2025-11-21,3,0.05,1,0,10
2025-11-24,2,0.05,10,0,10
2025-11-24,3,0.05,0,0,10
2025-11-25,2,0.05,11,0,10
2025-11-25,3,0.05,0,0,10
2025-11-26,2,0.05,9,0,10
2025-11-26,3,0.05,0,0,10
2025-11-27,2,0.05,9,0,10
2025-11-27,3,0.05,0,0,10
2025-11-28,2,0.05,12,0,10
2025-11-28,3,0.05,0,0,10
2025-12-01,2,0.05,9,0,10
2025-12-01,3,0.05,0,0,10
2025-12-02,2,0.05,9,0,10
2025-12-02,3,0.05,0,0,10
2025-12-03,2,0.05,10,0,10
2025-12-03,3,0.05,0,0,10
2025-12-04,2,0.05,9,0,10
2025-12-04,3,0.05,0,0,10
2025-12-05,2,0.05,11,0,10
2025-12-05,3,0.05,0,0,10
2025-12-08,2,0.05,11,0,10
2025-12-08,3,0.05,0,0,10
2025-12-09,2,0.05,8,0,10
2025-12-09,3,0.05,0,0,10
2025-12-10,2,0.05,9,1,10
2025-12-10,3,0.05,0,0,10
2025-12-11,2,0.05,8,1,10
2025-12-11,3,0.05,0,0,10
2025-12-12,2,0.05,7,0,10
2025-12-12,3,0.05,0,0,10
2025-12-15,2,0.05,7,0,10
2025-12-15,3,0.05,0,0,10
2025-12-16,2,0.05,10,0,10
2025-12-16,3,0.05,0,0,10
2025-12-17,2,0.05,9,0,10
2025-12-17,3,0.05,1,0,10
2025-12-18,2,0.05,10,0,10
2025-12-18,3,0.05,0,0,10
2025-12-19,2,0.05,7,0,10
2025-12-19,3,0.05,1,0,10
2025-12-22,2,0.05,7,0,10
2025-12-22,3,0.05,1,0,10
2025-12-23,2,0.05,11,0,10
2025-12-23,3,0.05,0,0,10
2025-12-24,2,0.05,11,0,10
2025-12-24,3,0.05,0,0,10
2025-12-25,2,0.05,11,0,10
2025-12-25,3,0.05,0,0,10
2025-12-26,2,0.05,11,0,10
2025-12-26,3,0.05,0,0,10
2025-12-29,2,0.05,10,0,10
2025-12-29,3,0.05,0,0,10
2025-12-30,2,0.05,10,0,10
2025-12-30,3,0.05,0,0,10
2025-12-31,2,0.05,10,0,10
2025-12-31,3,0.05,0,0,10
2026-01-01,2,0.05,10,0,10
2026-01-01,3,0.05,0,0,10
2026-01-02,2,0.05,11,0,10
2026-01-02,3,0.05,0,0,10
2026-01-05,2,0.05,12,0,10
2026-01-05,3,0.05,0,0,10
2026-01-06,2,0.05,10,0,10
2026-01-06,3,0.05,0,0,10
2026-01-07,2,0.05,11,0,10
2026-01-07,3,0.05,0,0,10
2026-01-08,2,0.05,9,0,10
2026-01-08,3,0.05,0,0,10
2026-01-09,2,0.05,9,0,10
2026-01-09,3,0.05,0,0,10
2026-01-12,2,0.05,9,0,10
2026-01-12,3,0.05,0,0,10
2026-01-13,2,0.05,10,0,10
2026-01-13,3,0.05,0,0,10
2026-01-14,2,0.05,12,0,10
2026-01-14,3,0.05,0,0,10
2026-01-15,2,0.05,12,0,10
2026-01-15,3,0.05,0,0,10
2026-01-16,2,0.05,14,0,10
2026-01-16,3,0.05,0,0,10
2026-01-19,2,0.05,12,0,10
2026-01-19,3,0.05,0,0,10
2026-01-20,2,0.05,14,1,10
2026-01-20,3,0.05,0,0,10
2026-01-21,2,0.05,11,1,10
2026-01-21,3,0.05,0,0,10
2026-01-22,2,0.05,12,1,10
2026-01-22,3,0.05,0,0,10
2026-01-23,2,0.05,10,1,10
2026-01-23,3,0.05,0,0,10
2026-01-26,2,0.05,10,1,10
2026-01-26,3,0.05,0,0,10
2026-01-27,2,0.05,12,1,10
2026-01-27,3,0.05,0,0,10
2026-01-28,2,0.05,12,1,10
2026-01-28,3,0.05,0,0,10
2026-01-29,2,0.05,12,1,10
2026-01-29,3,0.05,0,0,10
2026-01-30,2,0.05,11,0,10
2026-01-30,3,0.05,1,0,10
