rank,ticker,delta_rho,rho_excl,Q10_excl,pval_excl,abs_delta_rho
1,ETE.AT,0.03562668146996051,-0.13540532312008743,14.272730459786652,0.16091104411220103,0.03562668146996051
2,MU,-0.026916954920384345,-0.07286168672974258,8.678540166951606,0.5628586291062838,0.026916954920384345
3,BBVA.MC,-0.024767498861120188,-0.07501114278900674,14.96645813610108,0.13328952599365151,0.024767498861120188
4,ENEL.MI,0.02279109035207906,-0.12256973200220599,16.404730378344933,0.08861791893483928,0.02279109035207906
5,PRY.MI,-0.020492254654945904,-0.07928638699518102,11.77658104508687,0.3002873992736248,0.020492254654945904
6,EUROB.AT,0.017182117488810517,-0.11696075913893744,14.527743181018304,0.15025139576745183,0.017182117488810517
7,GMAB.CO,-0.01514943616920926,-0.08462920548091767,13.386174020452115,0.20287448705142908,0.01514943616920926
8,EDP.LS,-0.012381359728615315,-0.08739728192151161,14.488962151552682,0.15183367317969287,0.012381359728615315
9,IBE.MC,0.007231447024318341,-0.10701008867444527,14.8422439172603,0.1379200871222156,0.007231447024318341
10,FER.MC,0.0007683797967685535,-0.10054702144689548,14.493627004635018,0.1516426170980678,0.0007683797967685535
